Date,fighter1,fighter1_result,method_or_round,fighter2,Venue,Undercard fights,link,fighter1_record_wins,fighter1_record_draws,fighter1_record_losses,fighter2_record_wins,fighter2_record_draws,fighter2_record_losses,fighter1_height_cm,fighter2_height_cm,fighter1_ko_percentage,fighter2_ko_percentage,fighter1_debut,fighter2_debut
"Saturday, 10 May 2025",Anthony Cacace,Winner,"TKO, Round 9",Leigh Wood,"Motorpoint Arena, Nottingham, United Kingdom","Ezra Taylor Beat  Troy Jones (UD 10) 
Liam Davies Beat  Kurt Walker (UD 12) 
Owen Cooper Beat  Chris Kongo (UD 10)",https://box.live/fights/cacace-vs-wood/,23,0,1,28,0,3,178,170.0,35,61,2012,2011
"Saturday, 10 May 2025",Erickson Lubin,Winner,"TKO, Round 11",Ardreal Holmes,"Silver Spurs Arena, Kissimmee, FL, United States",Mayeli Flores Beat  Nazarena Romero (SD 10),https://box.live/fights/lubin-vs-holmes/,26,0,2,17,0,0,180,188.0,69,35,2013,2016
"Saturday, 10 May 2025",Souleymane Cissokho,Winner,"UD, Round 12",Egidijus Kavaliauskas,"Centre de Conference de Sipopo, Malabo, Equatorial Guinea",Kevin Sadjo Beat  Habib Ahmed (KO 3),https://box.live/fights/cissokho-vs-kavaliauskas/,17,0,0,24,1,2,179,175.0,53,79,1991,2013
"Friday, 9 May 2025",Dainier Pero,Winner,"UD, Round 10",Cesar Navarro,"Caribe Royale Orlando, Orlando, FL, United States",,https://box.live/fights/pero-vs-navarro/,10,0,0,13,0,2,188,183.0,80,85,2012,2017
"Friday, 9 May 2025",Tommy Fury,Winner,"UD, Round 6",Kenan Hanjalic,"MTK Arena, Budapest, Hungary",Roman Fury Beat  Josip Pehar (TKO 4),https://box.live/fights/fury-vs-hanjalic/,10,0,0,5,0,1,183,,40,80,2018,2019
"Friday, 9 May 2025",Andreas Katzourakis,Winner,"TKO, Round 7",Roberto Cruz,"Red Owl Boxing Arena, Houston, TX, United States",,https://box.live/fights/katzourakis-vs-cruz/,15,0,0,11,0,0,178,175.0,0,0,2018,2016
"Saturday, 3 May 2025",Canelo Alvarez,Winner,"UD, Round 12",William Scull,"The Venue, Riyadh, Saudi Arabia","Jaime Munguia Beat  Bruno Surace (UD 12) 
Martin Bakole Drew with  Efe Ajagba (MD 10) 
Badou Jack Beat  Noel Mikaelian (MD 12) 
Brayan Leon Beat  Aaron Guerrero (UD 6) 
Richard Riakporhe Beat  Kevin Espindola (TKO 4)",https://box.live/fights/canelo-vs-scull/,62,2,2,23,0,0,175,182.0,0,0,2005,2016
"Saturday, 3 May 2025",Jukiya Iimura,Winner,"UD, Round 12",Esneth Domingo,"Korakuen Hall, Tokyo, Japan",,https://box.live/fights/iimura-vs-domingo/,8,0,1,21,0,2,164,160.0,0,0,2021,2015
"Wednesday, 14 May 2025",Sam Goodman,Winner,"W, Round",Cesar Vaca Espinoza,"Hordern Pavilion, Sydney, New South Wales, Australia",,https://box.live/fights/goodman-vs-espinoza/,19,0,0,19,1,1,169,,0,0,2018,2018
"Sunday, 4 May 2025",Naoya Inoue,Winner,"TKO, Round 8",Ramon Cardenas,"T-Mobile Arena, Las Vegas, United States","Rafael Espinoza Beat  Edward Vazquez (TKO 7) 
Rohan Polanco Beat  Fabian Maidana (UD 10) 
Emiliano Vargas Beat  Juan Leon (TKO 2)",https://box.live/fights/inoue-vs-cardenas/,29,0,0,26,0,1,164,168.0,0,0,2012,2015
